md5:cd2ba3750cd762597037970968585b7e,browser,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.45 Safari/537.36"
md5:cd2ba3750cd762597037970968585b7e,condition,825
md5:cd2ba3750cd762597037970968585b7e,counterbalance,0
md5:cd2ba3750cd762597037970968585b7e,status,3
md5:027b1ef13eba99bda46a935541ee9cbd,browser,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
md5:027b1ef13eba99bda46a935541ee9cbd,condition,775
md5:027b1ef13eba99bda46a935541ee9cbd,counterbalance,0
md5:027b1ef13eba99bda46a935541ee9cbd,status,3
md5:dc6b7e182878625627c268f22d680fcd,browser,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.45 Safari/537.36"
md5:dc6b7e182878625627c268f22d680fcd,condition,543
md5:dc6b7e182878625627c268f22d680fcd,counterbalance,0
md5:dc6b7e182878625627c268f22d680fcd,status,3
md5:c4cef59428954627a9f27c081d08aff5,browser,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.45 Safari/537.36"
md5:c4cef59428954627a9f27c081d08aff5,condition,497
md5:c4cef59428954627a9f27c081d08aff5,counterbalance,0
md5:c4cef59428954627a9f27c081d08aff5,status,1
md5:8262ad112a60de250d9fa884358808ba,condition,840
md5:8262ad112a60de250d9fa884358808ba,counterbalance,0
md5:8262ad112a60de250d9fa884358808ba,status,1
md5:b5a82ec431df05ee98726deee12cf991,browser,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:94.0) Gecko/20100101 Firefox/94.0
md5:b5a82ec431df05ee98726deee12cf991,condition,708
md5:b5a82ec431df05ee98726deee12cf991,counterbalance,0
md5:b5a82ec431df05ee98726deee12cf991,status,3
md5:10e05d7f63307b4a3b7315a957f1ca24,browser,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
md5:10e05d7f63307b4a3b7315a957f1ca24,condition,157
md5:10e05d7f63307b4a3b7315a957f1ca24,counterbalance,0
md5:10e05d7f63307b4a3b7315a957f1ca24,status,3
md5:6f565b3dab1a5174ba98923b1ff0732e,browser,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.55 Safari/537.36 Edg/96.0.1054.34"
md5:6f565b3dab1a5174ba98923b1ff0732e,condition,838
md5:6f565b3dab1a5174ba98923b1ff0732e,counterbalance,0
md5:6f565b3dab1a5174ba98923b1ff0732e,status,3
md5:de3d7ac7bc09def4c9578b403c262ebd,browser,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:94.0) Gecko/20100101 Firefox/94.0
md5:de3d7ac7bc09def4c9578b403c262ebd,condition,516
md5:de3d7ac7bc09def4c9578b403c262ebd,counterbalance,0
md5:de3d7ac7bc09def4c9578b403c262ebd,status,1
md5:eb9727e7b6aaa1e63d5cc95be7037871,browser,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.45 Safari/537.36"
md5:eb9727e7b6aaa1e63d5cc95be7037871,condition,294
md5:eb9727e7b6aaa1e63d5cc95be7037871,counterbalance,0
md5:eb9727e7b6aaa1e63d5cc95be7037871,status,3
md5:571e876bddbff412340d71e61c89252a,browser,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:94.0) Gecko/20100101 Firefox/94.0
md5:571e876bddbff412340d71e61c89252a,condition,633
md5:571e876bddbff412340d71e61c89252a,counterbalance,0
md5:571e876bddbff412340d71e61c89252a,status,3
md5:dd56e4402d98dd3b88fefc34d12e3c73,browser,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.45 Safari/537.36"
md5:dd56e4402d98dd3b88fefc34d12e3c73,condition,921
md5:dd56e4402d98dd3b88fefc34d12e3c73,counterbalance,0
md5:dd56e4402d98dd3b88fefc34d12e3c73,status,3
md5:db648d931d24ee629a2a89746fa9b38f,browser,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.55 Safari/537.36"
md5:db648d931d24ee629a2a89746fa9b38f,condition,793
md5:db648d931d24ee629a2a89746fa9b38f,counterbalance,0
md5:db648d931d24ee629a2a89746fa9b38f,status,3
md5:d66a85fc6488ae68f06446b889ca3a62,browser,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.45 Safari/537.36"
md5:d66a85fc6488ae68f06446b889ca3a62,condition,270
md5:d66a85fc6488ae68f06446b889ca3a62,counterbalance,0
md5:d66a85fc6488ae68f06446b889ca3a62,status,3
md5:a495c959e740542115807d6f5ab29185,browser,"Mozilla/5.0 (X11; CrOS x86_64 14092.66.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.95 Safari/537.36"
md5:a495c959e740542115807d6f5ab29185,condition,719
md5:a495c959e740542115807d6f5ab29185,counterbalance,0
md5:a495c959e740542115807d6f5ab29185,status,3
md5:0e00cf6e2b7b087eefbb12a1117393dd,browser,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.55 Safari/537.36"
md5:0e00cf6e2b7b087eefbb12a1117393dd,condition,569
md5:0e00cf6e2b7b087eefbb12a1117393dd,counterbalance,0
md5:0e00cf6e2b7b087eefbb12a1117393dd,status,3
md5:f59b6e9f795b09773a9f4e678e9f9f8d,browser,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.55 Safari/537.36"
md5:f59b6e9f795b09773a9f4e678e9f9f8d,condition,778
md5:f59b6e9f795b09773a9f4e678e9f9f8d,counterbalance,0
md5:f59b6e9f795b09773a9f4e678e9f9f8d,status,3
md5:1f8487df20d6339ea345a49b3fabcbcd,browser,"Mozilla/5.0 (X11; CrOS aarch64 14150.87.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.124 Safari/537.36"
md5:1f8487df20d6339ea345a49b3fabcbcd,condition,292
md5:1f8487df20d6339ea345a49b3fabcbcd,counterbalance,0
md5:1f8487df20d6339ea345a49b3fabcbcd,status,3
md5:0418e4ed1e6efdac22e0251461d4455f,browser,"Mozilla/5.0 (Windows NT 10.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.45 Safari/537.36"
md5:0418e4ed1e6efdac22e0251461d4455f,condition,943
